Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Alex Abrines,SG,21,OKC,68,6,390,1055,10.1,0.56,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,75,44,41,9,33,114,406
2016,Quincy Acy,PF,24,TOT,38,1,213,558,11.8,0.565,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.8,-1.2,-3,-0.1,70,170,0.412,37,90,0.411,33,80,0.413,0.521,45,60,0.75,20,95,100,20,16,17,21,67,222
2016,Quincy Acy,PF,24,DAL,6,0,12,48,-1.4,0.355,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.1,-0.133,-10.1,-6,-16.2,-0.2,5,17,0.294,1,7,0.143,4,10,0.4,0.324,2,3,0.667,2,6,7,0,0,0,2,9,13
2016,Quincy Acy,PF,24,BRK,32,1,201,510,13.1,0.587,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-1.1,-0.7,-1.8,0,65,153,0.425,36,83,0.434,29,70,0.414,0.542,43,57,0.754,18,89,93,20,16,17,19,58,209
2016,Steven Adams,C,21,OKC,80,80,869,2389,16.5,0.589,13,15.5,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.4,0.13,-0.7,1.2,0.5,1.5,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,282,333,535,94,99,89,146,195,905
2016,Arron Afflalo,SG,29,SAC,61,45,494,1580,9,0.559,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2,-3.5,-0.6,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,109,85,24,8,42,104,515
2016,Alexis Ajinca,C,26,NOP,39,15,199,584,12.9,0.529,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,154,13,22,25,31,77,207
2016,Cole Aldrich,C,26,MIN,62,0,101,531,12.7,0.549,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2,2.6,0.6,0.4,45,86,0.523,0,0,0,45,86,0.523,0.523,15,22,0.682,51,107,137,27,28,26,17,85,105
2016,LaMarcus Aldridge,PF,29,SAS,72,72,1193,2335,18.6,0.532,8.6,16.6,12.7,9.9,1,3.1,7.7,24.5,3.5,3.7,7.3,0.149,-0.3,1.4,1.1,1.8,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,174,350,456,152,52,101,98,158,1243
2016,Lavoy Allen,PF,25,IND,61,5,170,871,11.6,0.485,13.7,14.6,14.2,9.1,1,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,1.3,-0.3,0.4,77,168,0.458,0,1,0,77,167,0.461,0.458,23,33,0.697,105,115,191,62,20,27,29,78,177
